,court_short_name,court_full_name,court_jurisdiction,jurisdiction
0,Supreme Court of Iowa,Supreme Court of Iowa,S,"Iowa, IA"
1,Second Circuit,Court of Appeals for the Second Circuit,F,"USA, Federal"
2,Sixth Circuit,Court of Appeals for the Sixth Circuit,F,"USA, Federal"
3,Seventh Circuit,Court of Appeals for the Seventh Circuit,F,"USA, Federal"
4,Court of Appeals of Kansas,Court of Appeals of Kansas,SA,"Kansas, KS"
5,Fourth Circuit,Court of Appeals for the Fourth Circuit,F,"USA, Federal"
6,Ninth Circuit,Court of Appeals for the Ninth Circuit,F,"USA, Federal"
7,Third Circuit,Court of Appeals for the Third Circuit,F,"USA, Federal"
8,Court of Appeals of Kentucky,Court of Appeals of Kentucky,SA,"Kentucky, KY"
9,Supreme Court of Louisiana,Supreme Court of Louisiana,S,"Louisiana, LA"
10,Louisiana Court of Appeal,Louisiana Court of Appeal,SA,"Louisiana, LA"
11,Tenth Circuit,Court of Appeals for the Tenth Circuit,F,"USA, Federal"
12,Federal Circuit,Court of Appeals for the Federal Circuit,F,"USA, Federal"
13,D.C. Circuit,Court of Appeals for the D.C. Circuit,F,"USA, Federal"
14,District of Columbia,"District Court, District of Columbia",FD,"USA, Federal"
15,Federal Claims,United States Court of Federal Claims,FS,"USA, Federal"
16,W.D. Pennsylvania,"District Court, W.D. Pennsylvania",FD,"Pennsylvania, PA"
17,D. Massachusetts,"District Court, D. Massachusetts",FD,"Massachusetts, MA"
18,W.D. Louisiana,"District Court, W.D. Louisiana",FD,"Louisiana, LA"
19,W.D. New York,"District Court, W.D. New York",FD,"New York, NY"
20,S.D. New York,"District Court, S.D. New York",FD,"New York, NY"
21,D. Maine,"District Court, D. Maine",FD,"Maine, ME"
22,M.D. Pennsylvania,"District Court, M.D. Pennsylvania",FD,"Pennsylvania, PA"
23,N.D. Oklahoma,"District Court, N.D. Oklahoma",FD,"Oklahoma, OK"
24,E.D. New York,"District Court, E.D. New York",FD,"New York, NY"
25,N.D. California,"District Court, N.D. California",FD,"California, CA"
26,W.D. Washington,"District Court, W.D. Washington",FD,"Washington, WA"
27,D. Idaho,"District Court, D. Idaho",FD,"Idaho, ID"
28,D. New Jersey,"District Court, D. New Jersey",FD,"New Jersey, NJ"
29,D. Minnesota,"District Court, D. Minnesota",FD,"Minnesota, MN"
30,D. Delaware,"District Court, D. Delaware",FD,"Delaware, DE"
31,S.D. West Virginia,"District Court, S.D. West Virginia",FD,"West Virginia, WV"
32,M.D. Tennessee,"District Court, M.D. Tennessee",FD,"Tennessee, TN"
33,N.D. Illinois,"District Court, N.D. Illinois",FD,"Illinois, IL"
34,D. Puerto Rico,"District Court, D. Puerto Rico",FD,"Puerto Rico, PR"
35,E.D. Michigan,"District Court, E.D. Michigan",FD,"Michigan, MI"
36,S.D. Texas,"District Court, S.D. Texas",FD,"Texas, TX"
37,D. New Mexico,"District Court, D. New Mexico",FD,"New Mexico, NM"
38,N.D. Mississippi,"District Court, N.D. Mississippi",FD,"Mississippi, MS"
39,S.D. Florida,"District Court, S.D. Florida",FD,"Florida, FL"
40,D. Oregon,"District Court, D. Oregon",FD,"Oregon, OR"
41,W.D. Kentucky,"District Court, W.D. Kentucky",FD,"Kentucky, KY"
42,W.D. Missouri,"District Court, W.D. Missouri",FD,"Missouri, MO"
43,W.D. North Carolina,"District Court, W.D. North Carolina",FD,"North Carolina, NC"
44,E.D. Pennsylvania,"District Court, E.D. Pennsylvania",FD,"Pennsylvania, PA"
45,S.D. Ohio,"District Court, S.D. Ohio",FD,"Ohio, OH"
46,S.D. Mississippi,"District Court, S.D. Mississippi",FD,"Mississippi, MS"
47,W.D. Tennessee,"District Court, W.D. Tennessee",FD,"Tennessee, TN"
48,D. Maryland,"District Court, D. Maryland",FD,"Maryland, MD"
49,D. Nevada,"District Court, D. Nevada",FD,"Nevada, NV"
50,E.D. Virginia,"District Court, E.D. Virginia",FD,"Virginia, VA"
51,E.D. Arkansas,"District Court, E.D. Arkansas",FD,"Arkansas, AR"
52,D. Connecticut,"District Court, D. Connecticut",FD,"Connecticut, CT"
53,E.D. California,"District Court, E.D. California",FD,"California, CA"
54,Judicial Panel on Multidistrict Litigation,United States Judicial Panel on Multidistrict Litigation,FS,"USA, Federal"
55,S.D. Alabama,"District Court, S.D. Alabama",FD,"Alabama, AL"
56,N.D. New York,"District Court, N.D. New York",FD,"New York, NY"
57,C.D. California,"District Court, C.D. California",FD,"California, CA"
58,D. Nebraska,"District Court, D. Nebraska",FD,"Nebraska, NE"
59,M.D. Florida,"District Court, M.D. Florida",FD,"USA, Federal"
60,D. Montana,"District Court, D. Montana",FD,"Montana, MT"
61,D. Vermont,"District Court, D. Vermont",FD,"Vermont, VT"
62,N.D. Georgia,"District Court, N.D. Georgia",FD,"Georgia, GA"
63,E.D. Kentucky,"District Court, E.D. Kentucky",FD,"Kentucky, KY"
64,E.D. Wisconsin,"District Court, E.D. Wisconsin",FD,"Wisconsin, WI"
65,N.D. Indiana,"District Court, N.D. Indiana",FD,"Indiana, IN"
66,W.D. Arkansas,"District Court, W.D. Arkansas",FD,"Arkansas, AR"
67,E.D. Louisiana,"District Court, E.D. Louisiana",FD,"Louisiana, LA"
68,S.D. Illinois,"District Court, S.D. Illinois",FD,"Illinois, IL"
69,W.D. Virginia,"District Court, W.D. Virginia",FD,"Virginia, VA"
70,D. Colorado,"District Court, D. Colorado",FD,"Colorado, CO"
71,W.D. Wisconsin,"District Court, W.D. Wisconsin",FD,"Wisconsin, WI"
72,W.D. Texas,"District Court, W.D. Texas",FD,"Texas, TX"
73,E.D. Missouri,"District Court, E.D. Missouri",FD,"Missouri, MO"
74,E.D. North Carolina,"District Court, E.D. North Carolina",FD,"North Carolina, NC"
75,D. Utah,"District Court, D. Utah",FD,"Utah, UT"
76,U.S. District Court,United States District Court,FD,"USA, Federal"
77,N.D. Ohio,"District Court, N.D. Ohio",FD,"Ohio, OH"
78,S.D. Georgia,"District Court, S.D. Georgia",FD,"Georgia, GA"
79,N.D. Texas,"District Court, N.D. Texas",FD,"Texas, TX"
80,Supreme Court,Supreme Court of the United States,F,"USA, Federal"
81,Court of Appeals for the Armed Forces,Court of Appeals for the Armed Forces,FS,"USA, Federal"
82,Air Force Court of Criminal Appeals,United States Air Force Court of Criminal Appeals,FS,"USA, Federal"
83,Army Court of Criminal Appeals,Army Court of Criminal Appeals,FS,"USA, Federal"
84,Northern Mariana Islands,"District Court, Northern Mariana Islands",FD,"USA, Federal"
85,Eleventh Circuit,Court of Appeals for the Eleventh Circuit,F,"USA, Federal"
86,District of Columbia Court of Appeals,District of Columbia Court of Appeals,S,"District of Columbia, DC"
87,Supreme Court of New Jersey,Supreme Court of New Jersey,S,"New Jersey, NJ"
88,Tennessee Supreme Court,Tennessee Supreme Court,S,"Tennessee, TN"
89,New York Court of Chancery,New York Court of Chancery,S,"New York, NY"
90,New Jersey Superior Court App Div.,New Jersey Superior Court Appellate Division,SA,"New Jersey, NJ"
91,Appellate Division of the Supreme Court of New York,Appellate Division of the Supreme Court of the State of New York,SA,"New York, NY"
92,Appellate Terms of the Supreme Court of New York,Appellate Terms of the Supreme Court of New York,SA,"New York, NY"
93,City of New York Municipal Court,City of New York Municipal Court,ST,"New York, NY"
94,New York Supreme Court,New York Supreme Court,ST,"New York, NY"
95,The Superior Court of New York City,The Superior Court of New York City,ST,"New York, NY"
96,Appellate Division of the Superior Court of California,Appellate Division of the Superior Court of California,SA,"California, CA"
97,Superior Court of Pennsylvania,Superior Court of Pennsylvania,SA,"Pennsylvania, PA"
98,Supreme Court of Alabama,Supreme Court of Alabama,S,"Alabama, AL"
99,Massachusetts Supreme Judicial Court,Massachusetts Supreme Judicial Court,S,"Massachusetts, MA"
100,Connecticut Superior Court,Connecticut Superior Court,SA,"Connecticut, CT"
101,Court of Appeals of Mississippi,Court of Appeals of Mississippi,SA,"Mississippi, MS"
102,Mississippi Supreme Court,Mississippi Supreme Court,S,"Mississippi, MS"
103,Supreme Court of Virginia,Supreme Court of Virginia,S,"Virginia, VA"
104,Supreme Court of North Carolina,Supreme Court of North Carolina,S,"North Carolina, NC"
105,Superior Court of North Carolina,Superior Court of North Carolina,SA,"North Carolina, NC"
106,Pennsylvania Court of Common Pleas,Pennsylvania Court of Common Pleas,ST,"Pennsylvania, PA"
107,Court of Appeals of South Carolina,Court of Appeals of South Carolina,SA,"South Carolina, SC"
108,Court of Appeals of North Carolina,Court of Appeals of North Carolina,SA,"North Carolina, NC"
109,Court of Appeals of Georgia,Court of Appeals of Georgia,SA,"Georgia, GA"
110,Supreme Court of Georgia,Supreme Court of Georgia,S,"Georgia, GA"
111,Supreme Court of Pennsylvania,Supreme Court of Pennsylvania,S,"Pennsylvania, PA"
112,Indiana Supreme Court,Indiana Supreme Court,S,"Indiana, IN"
113,Supreme Court of Florida,Supreme Court of Florida,S,"Florida, FL"
114,District Court of Appeal of Florida,District Court of Appeal of Florida,SA,"Florida, FL"
115,Court of Criminal Appeals of Alabama,Court of Criminal Appeals of Alabama,SA,"Alabama, AL"
116,Court of Civil Appeals of Alabama,Court of Civil Appeals of Alabama,SA,"Alabama, AL"
117,Nebraska Supreme Court,Nebraska Supreme Court,S,"Nebraska, NE"
118,Court of Appeals of Virginia,Court of Appeals of Virginia,SA,"Virginia, VA"
119,General Court of Virginia,General Court of Virginia,SS,"Virginia, VA"
120,Ohio Court of Claims,Ohio Court of Claims,SS,"Ohio, OH"
121,Michigan Supreme Court,Michigan Supreme Court,S,"Michigan, MI"
122,Court of Appeals of Texas,Court of Appeals of Texas,SA,"Texas, TX"
123,Ohio Court of Appeals,Ohio Court of Appeals,SA,"Ohio, OH"
124,First Circuit,Court of Appeals for the First Circuit,F,"USA, Federal"
125,Nevada Supreme Court,Nevada Supreme Court,S,"Nevada, NV"
126,Supreme Court of South Carolina,Supreme Court of South Carolina,S,"South Carolina, SC"
127,West Virginia Supreme Court,West Virginia Supreme Court,S,"West Virginia, WV"
128,Supreme Court of Kansas,Supreme Court of Kansas,S,"Kansas, KS"
129,Supreme Court of Delaware,Supreme Court of Delaware,S,"Delaware, DE"
130,Supreme Court of Arkansas,Supreme Court of Arkansas,S,"Arkansas, AR"
131,Court of Appeals of Arkansas,Court of Appeals of Arkansas,SA,"Arkansas, AR"
132,Supreme Court of Colorado,Supreme Court of Colorado,S,"Colorado, CO"
133,Colorado Court of Appeals,Colorado Court of Appeals,SA,"Colorado, CO"
134,Supreme Court of Connecticut,Supreme Court of Connecticut,S,"Connecticut, CT"
135,Connecticut Appellate Court,Connecticut Appellate Court,SA,"Connecticut, CT"
136,Indiana Tax Court,Indiana Tax Court,SS,"Indiana, IN"
137,Supreme Court of Minnesota,Supreme Court of Minnesota,S,"Minnesota, MN"
138,North Dakota Supreme Court,North Dakota Supreme Court,S,"North Dakota, ND"
139,South Dakota Supreme Court,South Dakota Supreme Court,S,"South Dakota, SD"
140,Court of Appeals of Iowa,Court of Appeals of Iowa,SA,"Iowa, IA"
141,Delaware Orphan's Court,Orphan's Court of Delaware,SA,"Delaware, DE"
142,Court of Appeals of Minnesota,Court of Appeals of Minnesota,SA,"Minnesota, MN"
143,Court of Appeals of Maryland,Court of Appeals of Maryland,S,"Maryland, MD"
144,Court of Special Appeals of Maryland,Court of Special Appeals of Maryland,SA,"Maryland, MD"
145,Massachusetts Land Court,Massachusetts Land Court,SS,"Massachusetts, MA"
146,Michigan Court of Appeals,Michigan Court of Appeals,SA,"Michigan, MI"
147,Supreme Court of Missouri,Supreme Court of Missouri,S,"Missouri, MO"
148,Missouri Court of Appeals,Missouri Court of Appeals,SA,"Missouri, MO"
149,Montana Supreme Court,Montana Supreme Court,S,"Montana, MT"
150,Supreme Court of New Hampshire,Supreme Court of New Hampshire,S,"New Hampshire, NH"
151,Ohio Supreme Court,Ohio Supreme Court,S,"Ohio, OH"
152,U.S. Customs Court,United States Customs Court,FS,"USA, Federal"
153,D. Hawaii,"District Court, D. Hawaii",FD,"Hawaii, HI"
154,U.S. Circuit Court for the District of Southern New York,U.S. Circuit Court for the District of Southern New York,FA,"USA, Federal"
155,U.S. Circuit Court,United States Circuit Court,F,"USA, Federal"
156,D. California,"District Court, D. California",FD,"California, CA"
157,Court of Appeals of Oregon,Court of Appeals of Oregon,SA,"Oregon, OR"
158,U.S. Tax Court,United States Tax Court,FS,"USA, Federal"
159,Veterans Claims,United States Court of Appeals for Veterans Claims,FS,"USA, Federal"
160,Utah Supreme Court,Utah Supreme Court,S,"Utah, UT"
161,Supreme Court of Vermont,Supreme Court of Vermont,S,"Vermont, VT"
162,Virgin Islands,"District Court, Virgin Islands",FD,"USA, Federal"
163,Wisconsin Supreme Court,Wisconsin Supreme Court,S,"Wisconsin, WI"
164,Court of Appeals of Wisconsin,Court of Appeals of Wisconsin,SA,"Wisconsin, WI"
165,Supreme Court of Oklahoma,Supreme Court of Oklahoma,S,"Oklahoma, OK"
166,Court of Criminal Appeals of Oklahoma,Court of Criminal Appeals of Oklahoma,SA,"Oklahoma, OK"
167,Oregon Supreme Court,Oregon Supreme Court,S,"Oregon, OR"
168,California Supreme Court,California Supreme Court,S,"California, CA"
169,Hawaii Supreme Court,Hawaii Supreme Court,S,"Hawaii, HI"
170,Appellate Court of Illinois,Appellate Court of Illinois,SA,"Illinois, IL"
171,Illinois Supreme Court,Illinois Supreme Court,S,"Illinois, IL"
172,Court for the Trial of Impeachments and Correction of Errors,Court for the Trial of Impeachments and Correction of Errors,SS,"New York, NY"
173,Massachusetts Appeals Court,Massachusetts Appeals Court,SA,"Massachusetts, MA"
174,Indiana Court of Appeals,Indiana Court of Appeals,SA,"Indiana, IN"
175,New York Court of Appeals,New York Court of Appeals,S,"New York, NY"
176,Texas Commission of Appeals,Texas Commission of Appeals,SS,"Texas, TX"
177,Supreme Court of Rhode Island,Supreme Court of Rhode Island,S,"Rhode Island, RI"
178,Superior Court of Rhode Island,Superior Court of Rhode Island,SA,"Rhode Island, RI"
179,Court of Appeals of Tennessee,Court of Appeals of Tennessee,SA,"Tennessee, TN"
180,Board of Tax Appeals,United States Board of Tax Appeals,FS,"USA, Federal"
181,U.S. Circuit Court for the District of Western Wisconsin,U.S. Circuit Court for the District of Western Wisconsin,FA,"Wisconsin, WI"
182,U.S. Circuit Court for the District of Maryland,U.S. Circuit Court for the District of Maryland,FA,"Maryland, MD"
183,D. Indiana,"District Court, D. Indiana",FD,"Indiana, IN"
184,U.S. Circuit Court for the District of Eastern Michigan,U.S. Circuit Court for the District of Eastern Michigan,FA,"Michigan, MI"
185,U.S. Circuit Court for the District of Massachusetts,U.S. Circuit Court for the District of Massachusetts,FA,"Massachusetts, MA"
186,U.S. Circuit Court for the District of Western Pennsylvania,U.S. Circuit Court for the District of Western Pennsylvania,FA,"Pennsylvania, PA"
187,U.S. Circuit Court for the District of Eastern Missouri,U.S. Circuit Court for the District of Eastern Missouri,FA,"Missouri, MO"
188,U.S. Circuit Court for the District of Eastern New York,U.S. Circuit Court for the District of Eastern New York,FA,"New York, NY"
189,E.D. South Carolina,"District Court, E.D. South Carolina",FD,"South Carolina, SC"
190,D. Rhode Island,"District Court, D. Rhode Island",FD,"Rhode Island, RI"
191,E.D. Illinois,"District Court, E.D. Illinois",FD,"Illinois, IL"
192,Navy-Marine Corps Court of Criminal Appeals,Navy-Marine Corps Court of Criminal Appeals,FS,"USA, Federal"
193,U.S. Circuit Court for the District of District of Columbia,U.S. Circuit Court for the District of District of Columbia,FA,"USA, Federal"
194,Massachusetts Superior Court,Massachusetts Superior Court,SA,"Massachusetts, MA"
195,Circuit Court of North Carolina,U.S. Circuit Court for the District of North Carolina,FD,"North Carolina, NC"
196,New York Court of Common Pleas,New York Court of Common Pleas,ST,"New York, NY"
197,New York City Court,New York City Court,ST,"New York, NY"
198,Superior Court of Buffalo,Superior Court of Buffalo,ST,"New York, NY"
199,Eighth Circuit,Court of Appeals for the Eighth Circuit,F,"USA, Federal"
200,U.S. Circuit Court for the District of Eastern Virginia,U.S. Circuit Court for the District of Eastern Virginia,FA,"USA, Federal"
201,Fifth Circuit,Court of Appeals for the Fifth Circuit,F,"USA, Federal"
202,Court of Chancery of Delaware,Court of Chancery of Delaware,SA,"Delaware, DE"
203,Commonwealth Court of Pennsylvania,Commonwealth Court of Pennsylvania,SA,"Pennsylvania, PA"
204,High Court of American Samoa,High Court of American Samoa,TS,"American Samoa, AS"
205,Delaware Court of Oyer and Terminer,Delaware Court of Oyer and Terminer,ST,"Delaware, DE"
206,Superior Court of Guam,Superior Court of Guam,TA,"USA, Federal"
207,D. Maine,"United States Bankruptcy Court, D. Maine",FB,"Maine, ME"
208,S.D. Florida,"United States Bankruptcy Court, S.D. Florida.",FB,"Florida, FL"
209,M.D. Florida,"United States Bankruptcy Court, M.D. Florida",FB,"Florida, FL"
210,N.D. Ohio,"United States Bankruptcy Court, N.D. Ohio",FB,"Ohio, OH"
211,C.D. California,"United States Bankruptcy Court, C.D. California",FB,"California, CA"
212,E.D. Pennsylvania,"United States Bankruptcy Court, E.D. Pennsylvania",FB,"Pennsylvania, PA"
213,D. New Hampshire,"United States Bankruptcy Court, D. New Hampshire",FB,"New Hampshire, NH"
214,E.D. New York,"United States Bankruptcy Court, E.D. New York",FB,"New York, NY"
215,D. Connecticut,"United States Bankruptcy Court, D. Connecticut",FB,"Connecticut, CT"
216,W.D. Pennsylvania,"United States Bankruptcy Court, W.D. Pennsylvania",FB,"Pennsylvania, PA"
217,N.D. Georgia,"United States Bankruptcy Court, N.D. Georgia",FB,"Georgia, GA"
218,W.D. Kentucky,"United States Bankruptcy Court, W.D. Kentucky",FB,"Kentucky, KY"
219,C.D. Illinois,"United States Bankruptcy Court, C.D. Illinois",FB,"Illinois, IL"
220,E.D. Louisiana,"United States Bankruptcy Court, E.D. Louisiana",FB,"Louisiana, LA"
221,N.D. Illinois,"United States Bankruptcy Court, N.D. Illinois",FB,"Illinois, IL"
222,D. Idaho,"United States Bankruptcy Court, D. Idaho",FB,"Idaho, ID"
223,N.D. Alabama,"United States Bankruptcy Court, N.D. Alabama",FB,"Alabama, AL"
224,District of Columbia,"United States Bankruptcy Court, District of Columbia",FB,"USA, Federal"
225,D. South Carolina,"United States Bankruptcy Court, D. South Carolina",FB,"South Carolina, SC"
226,M.D. Pennsylvania,"United States Bankruptcy Court, M.D. Pennsylvania",FB,"Pennsylvania, PA"
227,S.D. New York,"United States Bankruptcy Court, S.D. New York",FB,"New York, NY"
228,M.D. North Carolina,"United States Bankruptcy Court, M.D. North Carolina",FB,"North Carolina, NC"
229,D. Hawaii,"United States Bankruptcy Court, D. Hawaii",FB,"Hawaii, HI"
230,E.D. Michigan,"United States Bankruptcy Court, E.D. Michigan",FB,"Michigan, MI"
231,D. Kansas,"United States Bankruptcy Court, D. Kansas",FB,"Kansas, KS"
232,W.D. Texas,"United States Bankruptcy Court, W.D. Texas",FB,"Texas, TX"
233,N.D. West Virginia,"United States Bankruptcy Court, N.D. West Virginia",FB,"West Virginia, WV"
234,D. Puerto Rico,"United States Bankruptcy Court, D. Puerto Rico",FB,"Puerto Rico, PR"
235,D. Massachusetts,"United States Bankruptcy Court, D. Massachusetts",FB,"Massachusetts, MA"
236,D. Minnesota,"United States Bankruptcy Court, D. Minnesota",FB,"Minnesota, MN"
237,D. Delaware,"United States Bankruptcy Court, D. Delaware",FB,"Delaware, DE"
238,Eighth Circuit,United States Bankruptcy Appellate Panel for the Eighth Circuit,FBP,"USA, Federal"
239,D. Nevada,"United States Bankruptcy Court, D. Nevada",FB,"Nevada, NV"
240,E.D. Virginia,"United States Bankruptcy Court, E.D. Virginia",FB,"Virginia, VA"
241,N.D. Iowa,"United States Bankruptcy Court, N.D. Iowa",FB,"Iowa, IA"
242,S.D. Texas,"United States Bankruptcy Court, S.D. Texas",FB,"Texas, TX"
243,D. Utah,"United States Bankruptcy Court, D. Utah",FB,"Utah, UT"
244,W.D. Michigan,"United States Bankruptcy Court, W.D. Michigan",FB,"Michigan, MI"
245,D. Rhode Island,"United States Bankruptcy Court, D. Rhode Island",FB,"Rhode Island, RI"
246,Navajo Nation Supreme Court,Navajo Nation Supreme Court,TRS,"Arizona, AZ"
247,Superior Court of New Hampshire,Superior Court of New Hampshire,ST,"New Hampshire, NH"
248,"Passaic County Circuit Court, N.J.","Passaic County Circuit Court, N.J.",SA,"New Jersey, NJ"
249,Essex County Surrogate's Court,Essex County Surrogate's Court,ST,"New Jersey, NJ"
250,New Jersey Department of Labor Workmen's Compensation Bureau,New Jersey Department of Labor Workmen's Compensation Bureau,ST,"New Jersey, NJ"
251,Warren County Surrogate's Court,Warren County Surrogate's Court,ST,"New York, NY"
252,"Atlantic County Circuit Court, N.J.","Atlantic County Circuit Court, N.J.",SA,"New Jersey, NJ"
253,"Ohio Superior Court, Cincinnati","Ohio Superior Court, Cincinnati",ST,"Ohio, OH"
254,Tuscarawas Circuit Court,Tuscarawas Circuit Court,ST,"Ohio, OH"
255,Summit Circuit Court,Summit Circuit Court,ST,"Kentucky, KY"
256,Cuyahoga Circuit Court,Cuyahoga Circuit Court,ST,"Ohio, OH"
257,Lorain Circuit Court,Lorain Circuit Court,ST,"Ohio, OH"
258,Delaware Circuit Court,Delaware Circuit Court,ST,"Delaware, DE"
259,Stark Circuit Court,Stark Circuit Court,ST,"Indiana, IN"
260,Lucas Circuit Court,Lucas Circuit Court,ST,"Ohio, OH"
261,Trumbull Circuit Court,Trumbull Circuit Court,ST,"Ohio, OH"
262,Preble Circuit Court,Preble Circuit Court,ST,"Indiana, IN"
263,Wood Circuit Court,Wood Circuit Court,ST,"West Virginia, WV"
264,Defiance Circuit Court,Defiance Circuit Court,ST,"Ohio, OH"
265,Holmes Circuit Court,Holmes Circuit Court,ST,"Mississippi, MS"
266,Jackson County Court of Common Pleas,Jackson County Court of Common Pleas,ST,"Ohio, OH"
267,Ohio Probate Court of Franklin County,Ohio Probate Court of Franklin County,ST,"Ohio, OH"
268,Wood County Court of Common Pleas,Wood County Court of Common Pleas,ST,"Ohio, OH"
269,Piqua Municipal Court,Piqua Municipal Court,ST,"Ohio, OH"
270,Trumbull County Court of Common Pleas,Trumbull County Court of Common Pleas,ST,"Ohio, OH"
271,Cuyahoga County Common Pleas Court,Cuyahoga County Common Pleas Court,ST,"Ohio, OH"
272,Licking County Court of Common Pleas,Licking County Court of Common Pleas,ST,"Ohio, OH"
273,"Court of Common Pleas of Ohio, Hamilton County","Court of Common Pleas of Ohio, Hamilton County",ST,"Ohio, OH"
274,Tuscarawas County Court of Common Pleas,Tuscarawas County Court of Common Pleas,ST,"Ohio, OH"
275,Hamilton County Probate Court,Hamilton County Probate Court,ST,"Ohio, OH"
276,Toledo Municipal Court,Toledo Municipal Court,ST,"Ohio, OH"
277,Clermont County Court of Common Pleas,Clermont County Court of Common Pleas,ST,"Ohio, OH"
278,Hamilton County Municipal Court,Hamilton County Municipal Court,ST,"Ohio, OH"
279,City of Cleveland Municipal Court,City of Cleveland Municipal Court,ST,"Ohio, OH"
280,Lucas County Court of Common Pleas,Lucas County Court of Common Pleas,ST,"Ohio, OH"
281,Jefferson County Court of Quarter Sessions,Jefferson County Court of Quarter Sessions,ST,"Kentucky, KY"
282,Dauphin County Court of Quarter Sessions,Dauphin County Court of Quarter Sessions,ST,"Pennsylvania, PA"
283,Somerset County Court of Quarter Sessions,Somerset County Court of Quarter Sessions,ST,"Pennsylvania, PA"
284,Delaware County Court of Quarter Sessions,Delaware County Court of Quarter Sessions,ST,"Pennsylvania, PA"
285,Mifflin County Court of Quarter Sessions,Mifflin County Court of Quarter Sessions,ST,"Pennsylvania, PA"
286,Montgomery County Court of Quarter Sessions,Montgomery County Court of Quarter Sessions,ST,"Pennsylvania, PA"
287,Supreme Court of Puerto Rico,Supreme Court of Puerto Rico,TS,"Puerto Rico, PR"
288,Tribunal De Apelaciones De Puerto Rico/Court of Appeals of Puerto Rico,Tribunal De Apelaciones De Puerto Rico/Court of Appeals of Puerto Rico,TA,"Puerto Rico, PR"
289,United States Court of Military Appeals,United States Court of Military Appeals,FS,"USA, Federal"
290,West Virginia Court of Claims,West Virginia Court of Claims,ST,"West Virginia, WV"
291,Court of Claims,United States Court of Claims,FS,"USA, Federal"
292,"California Court of Appeal, 5th District","California Court of Appeal, 5th District",SA,"California, CA"
293,Illinois Circuit Court,Illinois Circuit Court,ST,"Illinois, IL"
294,Court of Claims of Illinois,Court of Claims of Illinois,ST,"Illinois, IL"
295,"Court of Appeals of Ohio, Eleventh District, Trumbull County","Court of Appeals of Ohio, Eleventh District, Trumbull County",ST,"Ohio, OH"
296,U.S. Circuit Court for the District of Rhode Island,U.S. Circuit Court for the District of Rhode Island,FA,"Rhode Island, RI"
297,D. New York,"District Court, D. New York",FD,"New York, NY"
298,U.S. Circuit Court for the District of Indiana,U.S. Circuit Court for the District of Indiana,FA,"Indiana, IN"
299,U.S. Circuit Court for the District of Northern New York,U.S. Circuit Court for the District of Northern New York,FA,"New York, NY"
300,D. Pennsylvania,"District Court, D. Pennsylvania",FD,"Pennsylvania, PA"
301,U.S. Army Court of Military Review,U.S. Army Court of Military Review,FS,"USA, Federal"
302,U.S. Navy-Marine Corps Court of Military Review,U.S. Navy-Marine Corps Court of Military Review,FS,"USA, Federal"
303,U S Air Force Court of Military Review,U S Air Force Court of Military Review,FS,"USA, Federal"
304,U S Coast Guard Court of Criminal Appeals,U S Coast Guard Court of Criminal Appeals,FS,"USA, Federal"
305,Northern Mariana Islands Commonwealth Trial Court,Northern Mariana Islands Commonwealth Trial Court,TT,"Northern Mariana Islands, MP"
306,Municipal Court of The Virgin Islands,Municipal Court of The Virgin Islands,TT,"USA, Federal"
307,Supreme Court of The Virgin Islands,Supreme Court of The Virgin Islands,TS,"Virgin Islands, VI"
308,Richmond County Circuit Court,Richmond County Circuit Court,ST,"Virginia, VA"
309,Frederick County Circuit Court,Frederick County Circuit Court,ST,"Maryland, MD"
310,Roanoke County Circuit Court,Roanoke County Circuit Court,ST,"Virginia, VA"
311,Rockingham County Circuit Court,Rockingham County Circuit Court,ST,"Virginia, VA"
312,Alexandria County Circuit Court,Alexandria County Circuit Court,ST,"Virginia, VA"
313,Fairfax County Circuit Court,Fairfax County Circuit Court,ST,"Virginia, VA"
314,Virginia Beach County Circuit Court,Virginia Beach County Circuit Court,ST,"Virginia, VA"
315,Virginia Circuit Court,Virginia Circuit Court,ST,"Virginia, VA"
316,Albemarle County Circuit Court,Albemarle County Circuit Court,ST,"Virginia, VA"
317,Henrico County Circuit Court,Henrico County Circuit Court,ST,"Virginia, VA"
318,Portsmouth County Circuit Court,Portsmouth County Circuit Court,ST,"Virginia, VA"
319,Charlottesville County Circuit Court,Charlottesville County Circuit Court,ST,"Virginia, VA"
320,Loudoun County Circuit Court,Loudoun County Circuit Court,ST,"Virginia, VA"
321,Spotsylvania County Circuit Court,Spotsylvania County Circuit Court,ST,"Virginia, VA"
322,Norfolk County Circuit Court,Norfolk County Circuit Court,ST,"Virginia, VA"
323,Northampton County Circuit Court,Northampton County Circuit Court,ST,"Virginia, VA"
324,Brunswick County Circuit Court,Brunswick County Circuit Court,ST,"Virginia, VA"
325,Chesapeake County Circuit Court,Chesapeake County Circuit Court,ST,"Virginia, VA"
326,Buckingham County Circuit Court,Buckingham County Circuit Court,ST,"Virginia, VA"
327,Augusta County Circuit Court,Augusta County Circuit Court,ST,"Virginia, VA"
328,U.S. Circuit Court for the District of Connecticut,U.S. Circuit Court for the District of Connecticut,FA,"Connecticut, CT"
329,S.D. California,"District Court, S.D. California",FD,"California, CA"
330,D. Kansas,"District Court, D. Kansas",FD,"Kansas, KS"
331,W.D. Michigan,"District Court, W.D. Michigan",FD,"Michigan, MI"
